Word,VADER,AFINN,SentiWordNet,AverageScore
epic,0.0,0.0,0.18181818181818182,0.6060606060606061
perturbation,0.0,0.0,0.18181818181818182,0.6060606060606061
penalties,0.0,0.0,0.2,0.6666666666666666
star,0.0,0.0,0.2,0.6666666666666666
clutches,0.0,0.0,0.16666666666666666,0.5555555555555555
dallas,0.0,0.0,0.15384615384615385,0.5128205128205129
schedule,0.0,0.0,0.18181818181818182,0.6060606060606061
coach,0.0,0.0,0.18181818181818182,0.6060606060606061
striking,0.0,0.0,0.2222222222222222,0.7407407407407408
distressed,-0.4215,-2.0,0.2857142857142857,0.1452142857142856
need,0.0,0.0,0.2222222222222222,0.7407407407407408
england,0.0,0.0,0.15384615384615385,0.5128205128205129
jolt,0.0,0.0,0.16666666666666666,0.5555555555555555
stadium,0.0,0.0,0.2,0.6666666666666666
configuration,0.0,0.0,0.18181818181818182,0.6060606060606061
worried,-0.296,-3.0,0.5,0.5680000000000001
beating,-0.4588,-1.0,0.18181818181818182,0.11979393939393941
scandalise,0.0,0.0,0.2857142857142857,0.9523809523809522
triumph,0.0,0.0,0.16666666666666666,0.5555555555555555
encounter,0.0,0.0,0.18181818181818182,0.6060606060606061
sensational,0.0,0.0,0.5,1.6666666666666667
competitions,0.0,0.0,0.25,0.8333333333333334
fifth,0.0,0.0,0.16666666666666666,0.5555555555555555
charles,0.0,0.0,0.15384615384615385,0.5128205128205129
historic,0.0,0.0,0.5,1.6666666666666667
all-star,0.0,0.0,0.2857142857,0.512820512421
rejoinder,0.0,0.0,0.18181818181818182,0.6060606060606061
staying,0.0,0.0,0.4,1.3333333333333333
kansas,0.0,0.0,0.15384615384615385,0.5128205128205129
homegrown,0.0,0.0,0.5,1.6666666666666667
gujarat,0.0,0.0,0.2,0.6666666666666666
community,0.0,0.0,0.2222222222222222,0.7407407407407408
austin,0.0,0.0,0.14285714285714285,0.4761904761904761
colorado,0.0,0.0,0.15384615384615385,0.5128205128205129
dortmund,0.0,0.0,0.15384615384615385,0.5128205128205129
banner,0.0,0.0,0.15384615384615385,0.5128205128205129
chanting,0.0,0.0,0.15384615384615385,0.5128205128205129
just,0.0,0.0,0.5,1.6666666666666667
seven,0.0,0.0,0.18181818181818182,0.6060606060606061
transfers,0.0,0.0,0.16666666666666666,0.5555555555555555
third,0.0,0.0,0.14285714285714285,0.4761904761904761
gunplay,0.0,0.0,0.18181818181818182,0.6060606060606061
selection,0.0,0.0,0.2,0.6666666666666666
plus,0.0,0.0,0.25,0.8333333333333334
sportingattributioneuropean,0.0,0.0,0.0,0.0
copyright,0.0,0.0,0.16666666666666666,0.5555555555555555
prevail,0.0,0.0,0.5,1.6666666666666667
photos,0.0,0.0,0.18181818181818182,0.6060606060606061
dembele,0.0,0.0,0.0,0.0
competition,0.0,0.0,0.25,0.8333333333333334
wells,0.25,0.0,0.18181818181818182,0.6893939393939394
fortunate,0.4404,2.0,0.5,2.4801333333333333
backbone,0.0,0.0,0.16666666666666666,0.5555555555555555
eddy,0.0,0.0,0.2,0.6666666666666666
trying,0.0,0.0,0.4,1.3333333333333333
tottenham,0.0,0.0,0.0,0.0
expansion,0.0,0.0,0.15384615384615385,0.5128205128205129
updated,0.0,0.0,0.3333333333333333,1.111111111111111
leaves,0.0,0.0,0.18181818181818182,0.6060606060606061
houston,0.0,0.0,0.18181818181818182,0.6060606060606061
clearance,0.0,0.0,0.16666666666666666,0.5555555555555555
sports,0.0,0.0,0.18181818181818182,0.6060606060606061
tickets,0.0,0.0,0.18181818181818182,0.6060606060606061
pacific,0.0,0.0,0.2222222222222222,0.7407407407407408
leagues,0.0,0.0,0.2,0.6666666666666666
face-off,0.0,0.0,0.18181818181818182,0.6060606060606061
winnings,0.5423,0.0,0.16666666666666666,0.7363222222222222
between,0.0,0.0,0.5,1.6666666666666667
round,0.0,0.0,0.16666666666666666,0.5555555555555555
exult,0.0,0.0,0.3333333333333333,1.111111111111111
both,0.0,0.0,0.5,1.6666666666666667
gunfight,0.0,0.0,0.18181818181818182,0.6060606060606061
racial,0.0,0.0,0.5,1.6666666666666667
united,0.4215,1.0,0.4,1.8071666666666666
